1,1,52.99,60.24,124.95999999999998,61.51,1,1,1.0
1,2,0.0,14.85,18.02,30.5,1,1,1.0
1,3,97.01,0.0,223.39,64.77,1,1,1.0
1,4,314.57,0.0,397.55,115.27,1,1,1.0
2,1,32.27,56.35,124.95999999999998,61.51,1,1,1.0
2,2,0.0,14.85,17.81,30.5,1,1,1.0
2,3,97.01,0.0,223.39,64.77,1,1,1.0
2,4,314.57,0.0,397.55,115.27,1,1,1.0
3,1,13.49,51.82,124.96,61.51,1,1,1.0
3,2,0.0,14.85,17.59,30.5,1,1,1.0
3,3,97.01,0.0,223.39,64.77,1,1,1.0
3,4,314.57,0.0,397.55,115.27,1,1,1.0
4,1,0.0,51.17,116.44,61.510000000000005,1,1,1.0
4,3,97.01,0.0,223.39,64.77,1,1,1.0
4,4,314.57,0.0,397.55,115.27,1,1,1.0
5,1,0.0,45.99,97.66,61.51,1,1,1.0
5,3,97.01,0.0,223.39,64.77,1,1,1.0
5,4,314.57,0.0,397.55,115.27,1,1,1.0
6,1,0.0,42.75,78.24,61.519999999999996,1,1,1.0
6,3,97.01,0.0,223.39,64.77,1,1,1.0
6,4,314.57,0.0,397.55,115.27,1,1,1.0
7,1,0.0,40.17,61.4,61.510000000000005,1,1,1.0
7,3,97.01,0.0,223.39,64.77,1,1,1.0
7,4,314.57,0.0,397.55,115.27,1,1,1.0
8,1,0.0,37.57,45.22,61.52,1,1,1.0
8,3,97.01,0.0,223.39,64.77,1,1,1.0
8,4,314.57,0.0,397.55,115.27,1,1,1.0
9,1,0.0,34.34,30.97,61.50999999999999,1,1,1.0
9,3,97.01,0.0,223.39,64.77,1,1,1.0
9,4,314.57,0.0,397.55,115.27,1,1,1.0
10,1,0.0,34.34,30.97,61.50999999999999,1,1,1.0
10,3,97.01,0.0,223.39,64.77,1,1,1.0
10,4,314.57,0.0,397.55,115.27,1,1,1.0
10,5,912.84,174.19,47.15999999999997,98.42000000000002,1,1,1.0
11,3,97.01,0.0,223.39,64.77,1,1,1.0
11,4,314.57,0.0,397.55,115.27,1,1,1.0
11,5,868.2,174.19,91.79999999999995,98.42000000000002,1,1,1.0
12,3,97.01,0.0,223.39,64.77,1,1,1.0
12,4,314.57,0.0,397.55,115.27,1,1,1.0
12,5,819.6,174.19,140.39999999999998,98.42000000000002,1,1,1.0
13,3,97.01,0.0,223.39,64.77,1,1,1.0
13,4,314.57,0.0,397.55,115.27,1,1,1.0
13,5,777.5,158.0,182.5,106.19999999999999,1,1,1.0
14,3,97.01,0.0,223.39,64.77,1,1,1.0
14,4,314.57,0.0,397.55,115.27,1,1,1.0
14,5,732.2,148.9,227.79999999999995,126.29999999999998,1,1,1.0
14,6,1.19,174.78,18.77,55.099999999999994,1,1,1.0
15,3,97.01,0.0,223.39,64.77,1,1,1.0
15,4,314.57,0.0,397.55,115.27,1,1,1.0
15,5,694.7,136.0,265.29999999999995,139.2,1,1,1.0
15,6,1.19,174.78,33.010000000000005,65.41999999999999,1,1,1.0
